Date,Open,High,Low,Close,Volume,Change,ma5,ma10,ma20,Kospi,S&P500,rsi,%K,%D,bb_upper,bb_sma,bb_lower,volume_ma5,momentum,high_low_diff
1999-08-02,15548,15548,14594,15547,4860340,0.13980938416422295,14021.0,13625.2,12645.2,959.809998,1328.050049,64.45245310836268,99.98160750413831,92.40908638669436,15364.426948969138,12645.2,9925.973051030864,2679836.0,3529.0,954
1999-08-03,15262,15738,14785,15738,2455330,0.012285328359169068,14498.0,13835.0,12907.5,973.330017,1322.180054,72.22222222222223,100.0,94.68849231156132,15760.957478033863,12907.5,10054.042521966137,2829680.0,2385.0,953
1999-08-04,15691,16215,15548,15738,2284220,0.0,14936.8,14087.8,13150.75,975.450012,1305.329956,71.73853587382624,90.73786407766991,96.9064905272694,16101.741688800295,13150.75,10199.758311199705,2845492.0,2194.0,667
1999-08-05,15071,15118,14117,14116,1546450,-0.10306265090862876,14955.8,14068.7,13284.25,939.070007,1313.709961,56.95533272561532,59.24271844660194,83.32686084142394,16150.891598217602,13284.25,10417.608401782398,2634576.0,95.0,1001
1999-08-06,14069,14308,13831,13926,1249060,-0.013459903655426486,15013.0,14164.1,13384.4,938.26001,1300.290039,51.414441147378824,55.55339805825243,68.51132686084142,16190.108571729015,13384.4,10578.691428270984,2479080.0,286.0,477
1999-08-09,13974,14498,13735,14116,1364280,0.013643544449231548,14726.8,14373.9,13494.05,948.969971,1297.800049,52.310679611650485,59.24271844660194,58.01294498381876,16229.820417806903,13494.05,10758.279582193096,1779868.0,-1431.0,763
1999-08-10,13640,14117,13640,13830,1088960,-0.020260697081326162,14345.2,14421.6,13584.65,968.659973,1281.430054,53.052382827885,53.689320388349515,56.16181229773463,16233.226998274633,13584.65,10936.073001725366,1506594.0,-1908.0,477
1999-08-11,13354,13354,12972,13163,1541630,-0.048228488792480095,13830.2,14383.5,13703.9,944.080017,1301.930054,44.1188566728357,40.737864077669904,51.22330097087379,16013.475208150894,13703.9,11394.324791849105,1358076.0,-2575.0,382
1999-08-12,13354,13831,13354,13687,875960,0.03980855428093899,13744.4,14350.1,13839.8,949.349976,1298.160034,54.010095344924295,50.912621359223294,48.446601941747566,15758.592668649519,13839.8,11921.00733135048,1223978.0,-429.0,477
1999-08-13,13354,13354,13068,13306,883430,-0.027836633301673075,13620.4,14316.7,13875.6,917.469971,1327.680054,57.71997122992089,15.26361782697349,35.6380344212889,15721.545474475566,13875.6,12029.654525524435,1150852.0,-620.0,286
1999-08-16,12877,13545,12877,13449,545280,0.010747031414399588,13487.0,14106.9,13866.05,907.280029,1330.77002,50.67132867132867,17.13600958657879,27.770749590925192,15719.090230199232,13866.05,12013.009769800767,987052.0,-667.0,668
1999-08-17,13449,13640,12782,12781,736600,-0.049669120380697485,13277.2,13811.2,13823.1,873.700012,1344.160034,44.99803330274026,-0.029129041654529564,10.790166123965918,15737.020847508145,13823.1,11909.179152491855,916580.0,-1049.0,858
1999-08-18,12209,13068,11446,13067,1062320,0.02237696580862214,13258.0,13544.1,13815.95,868.940002,1332.839966,43.5852608929532,33.990354371985745,17.032411638970004,15740.553305673799,13815.95,11891.346694326203,820718.0,-96.0,1622
1999-08-19,13354,13354,13020,13163,651580,0.007346751358383807,13153.2,13448.8,13758.75,871.179993,1323.589966,46.66480212557684,36.00335500104844,23.321526777126554,15689.893198375397,13758.75,11827.606801624603,775842.0,-524.0,334
1999-08-20,13163,13163,12972,13115,377780,-0.003646585124971513,13115.0,13367.7,13765.9,878.390015,1336.609985,27.021919879062736,34.99685468651709,34.99685468651709,15685.804482273172,13765.9,11845.995517726828,674712.0,-191.0,191
1999-08-23,13354,13735,13354,13640,732030,0.040030499428135746,13153.2,13320.1,13847.0,917.580017,1360.219971,31.35442587984359,46.00545187670371,39.001887188089746,15584.379151420166,13847.0,12109.620848579834,712062.0,191.0,381
1999-08-24,13640,13640,13354,13449,676980,-0.01400293255131968,13286.8,13282.0,13851.8,932.409973,1363.5,30.324909747292423,54.5479302832244,45.1834122821484,15583.955165044244,13851.8,12119.644834955754,700138.0,668.0,286
1999-08-25,13354,13831,13354,13640,1126270,0.014201799390289205,13401.4,13329.7,13856.6,963.0,1381.790039,44.57364341085271,71.8872870249017,57.48022306160994,15585.693148384278,13856.6,12127.506851615723,712928.0,573.0,477
1999-08-26,13640,13640,13258,13258,700020,-0.02800586510263925,13420.4,13286.8,13818.45,959.880005,1362.01001,42.7042376583661,59.37090432503277,61.93537387771963,15565.842701321475,13818.45,12071.057298678526,722616.0,95.0,382
1999-08-27,13068,13258,12686,12972,895800,-0.02157188112837527,13391.8,13253.4,13785.05,960.280029,1348.27002,37.76208814719726,57.13216023961063,62.7967838631817,15571.895674130219,13785.05,11998.20432586978,826220.0,-143.0,572
1999-08-30,13258,13354,12972,12972,930600,0.0,13258.2,13205.7,13656.3,942.570007,1324.02002,40.22333637192343,63.9832285115304,60.162097692057934,15271.4215825181,13656.3,12041.178417481899,865934.0,-668.0,382
1999-08-31,12972,12972,12686,12829,369840,-0.011023743447425183,13134.2,13210.5,13510.85,937.880005,1320.410034,45.678053830227746,57.9874213836478,59.700936711596285,14834.224518339182,13510.85,12187.475481660818,804506.0,-620.0,286
1999-09-01,12829,12829,12305,12304,832820,-0.04092290903421936,12867.0,13134.2,13339.15,905.52002,1331.069946,32.10866752910738,35.9748427672956,52.648497554157935,14282.318517621092,13339.15,12395.981482378907,745816.0,-1336.0,524
1999-09-02,10969,12114,10969,11827,767180,-0.038767880364109275,12580.8,13000.6,13224.7,898.969971,1319.109985,31.330472103004297,29.979035639413,41.31376659678547,14314.998674675884,13224.7,12134.401325324117,759248.0,-1431.0,1145
1999-09-03,11923,11923,10969,11255,1026340,-0.04836391308024013,12237.4,12814.6,13091.15,910.619995,1357.23999,25.011389521640098,9.993011879804332,25.315630095504314,14442.776898846054,13091.15,11739.523101153945,785356.0,-1717.0,954
1999-09-07,12877,12877,12114,12113,825620,-0.06275147013308568,12084.6,12609.4,12945.7,943.919983,1350.449951,42.707423580786035,39.97204751921733,26.648031679478223,14319.52209141151,12991.0,11662.47790858849,764360.0,-859.0,763
1999-09-08,12448,12448,11923,12113,607960,0.0,12046.4,12456.7,12893.2,936.929993,1344.150024,38.89147647880764,39.97204751921733,29.979035639413,14227.28308908867,12905.15,11583.016910911329,811984.0,-716.0,525
1999-09-09,12400,12400,11923,11970,480870,-0.011805498225047506,12075.0,12327.9,12807.35,950.530029,1347.660034,36.258926514627966,34.97554157931517,38.306545539249946,14225.05194862222,12845.5,11465.94805137778,741594.0,-334.0,477
1999-09-10,11971,12400,11971,11970,769060,0.0,12218.0,12227.7,12740.55,961.97998,1351.660034,36.66433729326811,34.97554157931517,36.64104355928256,14132.392207561583,12759.65,11386.907792438416,741970.0,143.0,429
1999-09-13,12209,12209,11542,11875,756270,-0.007936507936507908,12008.2,12118.0,12661.85,980.909973,1344.130005,27.155060833549058,31.656184486373167,33.869089215001175,14089.807214716922,12688.1,11286.392785283078,687956.0,620.0,667
1999-09-14,11875,11875,11685,11780,607810,-0.008000000000000007,11941.6,12013.1,12611.8,968.539978,1336.290039,27.8470931775949,28.336827393431168,31.656184486373178,14014.32473291947,12604.65,11194.97526708053,644394.0,-333.0,190
1999-09-15,11780,11780,11160,11350,1046660,-0.03650254668930386,11789.0,11917.7,12525.95,952.690002,1317.969971,21.417873190214678,14.264320479221265,24.752444119675204,14046.533030180757,12533.1,11019.666969819244,732134.0,-763.0,620
1999-09-16,11351,11351,10778,10778,1003500,-0.0503964757709251,11550.6,11812.8,12406.7,916.159973,1318.47998,20.448045757864634,0.0,14.200382624217482,14099.071535461298,12418.65,10738.2284645387,836660.0,-1192.0,573
1999-09-17,10492,11160,10492,11160,823150,0.035442568194470114,11388.6,11803.3,12308.95,925.200012,1335.420044,28.890959925442687,23.340321453529,12.534880644250094,14050.105339744478,12318.5,10586.894660255522,847478.0,-810.0,668
1999-09-20,11255,11255,10969,10969,520050,-0.017114695340501807,11207.4,11607.8,12175.4,933.880005,1335.530029,27.66004907428062,19.233870967741936,14.191397473756984,14000.003963840823,12211.2,10422.396036159178,800234.0,-906.0,286
1999-09-21,10874,11637,10874,11398,467930,0.0391102197100921,11131.0,11536.3,12072.85,957.419983,1307.579956,34.99685468651708,37.9874213836478,26.85387126830625,13789.172549050083,12099.1,10409.027450949918,772258.0,-382.0,763
1999-09-22,10969,11160,10969,10969,717710,-0.037638182137217036,11054.8,11421.9,11939.3,941.570007,1310.51001,35.715814252086446,20.0,25.740430783796583,13611.206791006924,11975.1,10338.993208993077,706468.0,-381.0,191
1999-09-27,10969,10969,10683,10730,354440,-0.021788677181146854,11045.2,11297.9,11812.9,903.789978,1283.310059,37.6324689966178,9.979035639412997,22.655485674353603,13356.20564652435,11829.6,10302.994353475651,576656.0,-48.0,286
1999-09-28,10731,11065,10635,11016,403570,0.02665424044734399,11016.4,11202.5,11715.1,900.72998,1282.199951,47.11978790069896,21.970649895178195,17.316561844863735,13127.261681987433,11717.5,10307.738318012567,492740.0,-144.0,430
1999-09-29,10874,11446,10635,10969,583510,-0.004266521423384129,11016.4,11111.9,11614.95,868.880005,1268.369995,32.863990413421206,24.386503067484664,18.778729534025288,12933.337885882509,11617.35,10301.362114117492,505432.0,0.0,811
1999-09-30,10969,10969,10683,10969,700380,0.0,10930.6,11030.8,11521.95,836.179993,1282.709961,32.863990413421206,25.0,23.785717654220957,12696.927461836238,11517.2,10337.472538163764,551922.0,-429.0,286
1999-10-01,10969,10969,10206,10540,934090,-0.0391102197100921,10844.8,10949.8,11433.75,839.349976,1282.810059,30.270419426048562,15.223336371923427,21.536613146469367,12486.891158997125,11402.75,10318.608841002875,595198.0,-429.0,763
1999-10-04,10826,10969,10683,10826,605410,0.027134724857684978,10864.0,10954.6,11383.7,818.369995,1304.599976,35.370843989769824,30.953569645531704,23.72563533915171,12354.226393022815,11328.85,10303.473606977186,645392.0,96.0,286
1999-10-05,10826,11065,10826,10873,1241870,0.00434140033253283,10835.4,10925.9,11364.6,791.549988,1301.349976,37.02744691869497,39.96405032953865,28.713652115664598,12297.67395834766,11281.15,10264.62604165234,813052.0,-143.0,239
1999-10-06,11017,11255,10826,11255,1229500,0.035132898004230695,10892.6,10954.5,11281.15,835.309998,1325.400024,43.67317425885756,66.64548919949173,45.85436972485403,12297.67395834766,11281.15,10264.62604165234,942250.0,286.0,429
1999-10-07,11637,11828,11398,11827,1545240,0.05082185695246566,11064.2,10997.4,11266.85,851.150024,1317.640015,55.55814495455604,99.9383477188656,68.84929574929866,12241.276962508333,11266.85,10292.423037491668,1111222.0,858.0,430
1999-10-08,11494,11732,11255,11732,1740120,-0.00803246808150837,11302.6,11073.7,11247.8,839.409973,1336.02002,62.50655479811222,94.0813810110974,86.88840597648492,12165.841301673843,11247.8,10329.758698326155,1272428.0,1192.0,477
1999-10-11,12400,12400,11875,12400,3241250,0.05693828844186832,11617.4,11240.7,11269.3,834.390015,1335.209961,65.1219512195122,100.0,98.00657624332099,12274.554217651097,11269.3,10264.045782348901,1799596.0,1574.0,525
1999-10-12,11828,13640,11828,13640,5921310,0.10000000000000009,12170.8,11503.1,11352.8,856.25,1313.040039,75.93707516022528,100.0,98.02712700369914,12788.424874034794,11352.8,9917.175125965205,2735484.0,2767.0,1812
1999-10-13,12972,12972,12400,12400,5452710,-0.09090909090909094,12399.8,11646.2,11379.05,855.52002,1285.550049,58.40604026845637,63.8905066977286,87.9635022325762,12872.896532665904,11379.05,9885.203467334095,3580126.0,1145.0,572
1999-10-14,12000,12100,11800,11950,1005080,-0.03629032258064513,12424.4,11744.3,11387.55,866.02002,1283.420044,58.200969737502085,50.78625509609785,71.55892059794216,12892.892832083546,11387.55,9882.207167916453,3472094.0,123.0,300
1999-10-15,11800,11800,11550,11650,495070,-0.025104602510460206,12408.0,11855.3,11402.55,862.630005,1247.410034,57.6133730552797,42.05008736167735,52.2422830518346,12912.28967431825,11402.55,9892.810325681749,3223084.0,-82.0,250
1999-10-18,11150,11300,11100,11100,473130,-0.047210300429184504,12148.0,11882.7,11418.65,826.25,1254.130005,50.66603235014273,26.03377984857309,39.623374102116095,12907.063535490599,11418.65,9930.2364645094,2669460.0,-1300.0,200
1999-10-19,11250,11250,10900,10900,376010,-0.018018018018018056,11600.0,11885.4,11405.65,811.440002,1261.319946,49.46586158848119,20.209668025626094,29.43117841195885,12908.051484641399,11405.65,9903.2485153586,1560400.0,-2740.0,350
1999-10-20,11050,11500,11050,11500,344430,0.05504587155963292,11420.0,11909.9,11432.2,830.690002,1289.430054,53.76115597110072,37.68200349446709,27.975150456222096,12920.81569039301,11432.2,9943.584309606991,538744.0,-900.0,450
1999-10-21,11100,11250,11100,11100,528680,-0.034782608695652195,11250.0,11837.2,11417.3,818.51001,1283.609985,53.98293029871977,14.102130537707136,23.99793401926678,12913.304235851041,11417.3,9921.295764148957,443464.0,-850.0,150
1999-10-22,10900,11100,10800,11100,540850,0.0,11140.0,11774.0,11423.85,819.52002,1301.650024,52.031435349940686,10.56338028169014,20.782504771288128,12912.719903475025,11423.85,9934.980096524976,452620.0,-550.0,300
1999-10-25,11000,11000,10400,10750,583000,-0.03153153153153154,11070.0,11609.0,11424.85,798.840027,1293.630005,49.12728820774798,10.802469135802468,11.822659985066586,12911.783301162264,11424.85,9937.916698837736,474594.0,-350.0,600
1999-10-26,10400,11300,10300,11300,804080,0.051162790697674376,11150.0,11375.0,11439.05,797.01001,1281.910034,50.31185031185031,29.94011976047904,17.101989725990553,12914.926685049848,11439.05,9963.17331495015,560208.0,400.0,1000
1999-10-27,11000,11300,11000,11200,586170,-0.008849557522123908,11090.0,11255.0,11450.6,793.419983,1296.709961,45.350734094616634,26.94610778443114,22.562898893570885,12914.555478184124,11450.6,9986.644521815877,608556.0,-300.0,300
1999-10-28,10900,11600,10850,11050,900550,-0.013392857142857095,11080.0,11165.0,11454.65,820.950012,1342.439941,44.98381877022653,22.45508982035928,26.44710578842316,12913.43468163347,11454.65,9995.86531836653,682930.0,-50.0,750
1999-10-29,11300,12000,11150,12000,1501120,0.08597285067873295,11260.0,11200.0,11527.65,833.51001,1362.930054,47.175141242937855,50.898203592814376,33.433133732534934,12939.069035841901,11527.65,10116.230964158098,874984.0,900.0,850
1999-11-01,11700,12500,11700,12500,3291920,0.04166666666666674,11610.0,11340.0,11611.35,876.549988,1354.119995,41.00946372239748,82.33532934131736,51.89620758483034,13045.925348867735,11611.35,10176.774651132266,1416768.0,1750.0,800
1999-11-02,12300,12300,12200,12200,1200690,-0.02400000000000002,11790.0,11470.0,11677.7,890.179993,1347.73999,48.14814814814815,86.36363636363636,73.19905643258937,13091.082072976222,11677.7,10264.31792702378,1496090.0,900.0,100
1999-11-03,12250,12250,11800,11800,3225700,-0.032786885245901676,11910.0,11500.0,11704.95,887.150024,1354.930054,48.598130841121495,68.18181818181817,78.96026129559064,13104.969770537107,11704.95,10304.930229462894,2023996.0,600.0,450
1999-11-04,12000,12500,12000,12500,6758730,0.05932203389830515,12200.0,11640.0,11738.6,911.820007,1362.640015,57.39130434782609,100.0,84.84848484848486,13182.6312578626,11738.6,10294.5687421374,3195632.0,1450.0,500
1999-11-05,12300,12300,11900,11900,1691180,-0.04800000000000004,12180.0,11720.0,11747.0,913.090027,1370.22998,56.896551724137936,72.72727272727273,80.30303030303031,13192.823021855147,11747.0,10301.176978144853,3233644.0,-100.0,400
1999-11-08,12000,12000,11000,11000,1726340,-0.07563025210084029,11880.0,11745.0,11677.0,907.599976,1377.01001,50.76923076923077,31.818181818181817,68.18181818181819,13125.267204191574,11677.0,10228.732795808426,2920528.0,-1500.0,1000
1999-11-09,11250,11250,11000,11050,1112600,0.00454545454545463,11650.0,11720.0,11547.5,943.460022,1365.280029,46.21848739495798,34.090909090909086,46.21212121212122,12686.971253188138,11547.5,10408.028746811862,2902910.0,-1150.0,250
1999-11-10,11100,11100,10500,10500,1530180,-0.04977375565610864,11390.0,11650.0,11452.5,938.76001,1373.459961,45.08196721311475,9.090909090909092,25.000000000000004,12609.390114419753,11452.5,10295.609885580247,2563806.0,-1300.0,600
