Date,Open,High,Low,Close,Volume,Change,ma5,ma10,ma20,Kospi,S&P500,rsi,%K,%D,bb_upper,bb_sma,bb_lower,volume_ma5,momentum,high_low_diff
2008-11-06,33330,33428,30398,30398,4742697,-0.14796647700199006,32930.0,34195.9,38442.9,1092.219971,904.880005,38.76245376695211,22.658248081841432,39.61942361108148,51152.556352139254,38442.9,25733.24364786075,6851724.4,-3813.0,3030
2008-11-07,28834,32255,28736,31229,3990183,0.02733732482400164,32920.2,33721.8,37707.35,1134.48999,930.98999,38.36195331365709,29.29987212276215,35.113233050657335,50292.27122426885,37707.35,25122.428775731147,5698239.0,-49.0,3519
2008-11-10,31327,33428,30838,32842,3134325,0.051650709276633844,33027.6,33096.2,36871.65,1152.459961,919.210022,41.2505594271466,42.191496163682864,31.38320545609548,48311.37197444639,36871.65,25431.92802555361,4854329.8,537.0,2590
2008-11-11,31962,32793,31327,31962,2145736,-0.02679495767614637,32421.6,32617.2,35874.65,1128.72998,898.950012,40.993709892623414,38.139413906710594,36.543594064385196,45050.50443088774,35874.65,26698.795569112262,4013531.2,-3030.0,1466
2008-11-12,30984,32157,30789,31376,2086887,-0.01833427194793813,31561.4,32627.0,34950.95,1123.859985,852.299988,42.44457601473587,33.058782729322004,37.79656426657183,41565.057043998735,34950.95,28336.84295600126,3219965.6,-4301.0,1368
2008-11-13,29567,29763,27661,29763,3989665,-0.05140872004079555,31434.4,32182.2,34318.05,1088.439941,911.289978,40.30610651257223,19.07404196289232,30.09074619964164,40316.249500902886,34318.05,28319.85049909712,3069359.2,-635.0,2102
2008-11-14,31278,31424,30545,31425,2490904,0.05584114504586224,31473.6,32196.9,34032.15,1088.26001,873.289978,37.44148744639759,35.43444352692908,29.18908940638114,40008.45420119853,34032.15,28055.84579880147,2769503.4,196.0,879
2008-11-17,30838,33575,29616,31669,3997608,0.007764518695306366,31239.0,32133.3,33707.15,1078.319946,850.75,41.0658417407811,37.673181025782185,30.72722217186786,39438.1452575539,33707.15,27976.154742446102,2942160.0,-1173.0,3959
2008-11-18,30838,31180,29421,29421,2695714,-0.07098424326628561,30730.8,31576.2,33262.4,1036.160034,859.119995,46.31854407041751,18.102104442712395,30.403242998474553,38866.60873423199,33262.4,27658.191265768015,3052155.6,-2541.0,1759
2008-11-19,29665,29763,28101,28199,2358039,-0.041534958023180746,30095.4,30828.4,32790.75,1016.820007,806.580017,37.213951509995745,5.292150304938029,20.35581192447754,38434.181762024906,32790.75,27147.318237975094,3106386.0,-3177.0,1662
2008-11-20,26390,26781,23996,23996,4343141,-0.14904783857583603,28942.0,30188.2,32192.05,948.690002,752.440002,35.306698950766744,0.0,7.798084915883478,38862.49846515703,32192.05,25521.601534842972,3177081.2,-5767.0,2785
2008-11-21,22578,26537,21161,24436,6871915,0.01833638939823312,27544.2,29508.9,31615.35,1003.72998,800.030029,33.737031372711115,19.650786031441257,8.314312112126432,38878.558520380386,31615.35,24352.14147961961,4053283.4,-6989.0,5376
2008-11-24,24338,24680,22187,22286,3863412,-0.08798494025208703,25667.6,28453.3,30774.75,970.140015,851.809998,23.14423402096719,6.750270010800433,8.800352014080566,38279.092514767515,30774.75,23270.40748523248,4026444.2,-9383.0,2493
2008-11-25,23800,24631,22530,23459,4784197,0.05263394059050519,24475.2,27603.0,30110.1,983.320007,857.390015,24.69764744864149,18.511358144030932,14.970804728757543,37739.05428855371,30110.1,22481.14571144629,4444140.8,-5962.0,2101
2008-11-26,23751,26977,23751,26977,6209375,0.14996376657146504,24230.8,27163.1,29895.05,1029.780029,887.679993,42.358039583612566,46.85033027227324,24.037319475701537,37627.16861686453,29895.05,22162.931383135467,5214408.0,-1222.0,3226
2008-11-28,29812,30593,28736,29519,3265847,0.006684172833611779,26312.8,26928.5,29562.7,1076.069946,896.23999,46.45139868847016,67.32721121314644,44.229633209816875,37121.1558075874,29660.45,22199.744192412603,4998949.2,5523.0,1857
2008-12-01,29665,29714,28199,28346,1873968,-0.03973711846607275,27524.8,26596.2,29364.75,1058.619995,816.210022,40.496321975141626,57.87820202996616,57.35191450512861,36955.92954171837,29513.85,22071.77045828163,3999359.8,3910.0,1515
2008-12-02,25804,28639,25804,27368,3566354,-0.03450222253580748,28306.6,26390.9,28983.55,1023.200012,848.809998,40.32923543280566,50.0,58.40180441437087,36646.51728559673,29267.0,21887.482714403268,3939948.2,5082.0,2835
2008-12-03,28394,28932,27563,28639,2624490,0.046441099093832205,28639.0,26434.9,28631.65,1022.669983,870.73999,44.39988541965054,60.23844047043661,56.038880833467594,35820.69073410789,28949.35,22078.009265892106,3508006.8,5180.0,1369
2008-12-04,29665,30447,27759,28541,2155312,-0.0034219071894968645,28482.6,26889.4,28538.8,1006.539978,845.219971,47.334438530669225,59.44900918318028,56.56248321787229,34690.55894080233,28592.55,22494.54105919767,2697194.2,1564.0,2688
2008-12-05,28345,29958,28296,29763,2119075,0.042815598612522265,28531.4,27422.1,28465.5,1028.130005,876.070007,46.30370963437416,69.29273400998872,62.9933945545352,34625.75158482866,28560.8,22495.84841517134,2467839.8,244.0,1662
2008-12-08,29909,33233,29616,32256,2978142,0.08376171756879347,29313.4,28419.1,28436.2,1105.050049,909.700012,51.186769641340824,91.90689198144466,73.54954505820454,34788.586624700954,28612.15,22435.713375299052,2688674.6,3910.0,3617
2008-12-09,32548,32744,30838,32451,2519727,0.0060453869047618625,30330.0,29318.3,28460.65,1105.839966,888.669983,56.68048328776788,93.5222001325381,84.90727537465716,34714.901748095785,28592.6,22470.298251904213,2479349.2,5083.0,1906
2008-12-10,32744,35334,32744,34699,3742748,0.06927367415487962,31542.0,30090.5,28626.8,1145.869995,899.23999,63.71076611542356,95.51965003880618,93.64958071759632,35276.493606810145,28729.45,22182.406393189856,2703000.8,6060.0,2590
2008-12-11,35090,38120,34015,35872,5781519,0.03380500878987869,33008.2,30745.4,28932.25,1154.430054,873.590027,78.72206636354842,86.74450144466064,91.92878387200165,36159.57036980861,28954.25,21748.929630191393,3428242.2,7331.0,4105
2008-12-12,33037,33184,30545,30545,20228685,-0.14850022301516508,33164.6,30848.0,28888.25,1103.819946,879.72998,61.94984546770471,52.45716437582376,78.24043861976352,36225.5860311681,28993.35,21761.11396883189,7050164.2,782.0,2639
2008-12-15,31766,32695,31571,32256,3502425,0.05601571451956122,33164.6,31239.0,28917.6,1158.189941,868.570007,69.84316535307698,62.38614496472098,67.19593692840179,36335.18573052921,29034.9,21734.614269470796,7155020.8,0.0,1124
