회사명,종목코드
AJ네트웍스,095570
BNK금융지주,138930
DSR,155660
HD한국조선해양,009540
KG케미칼,001390
KH 필룩스,033180
KPX케미칼,025000
KTis,058860
LG이노텍,011070
LG헬로비전,037560
MH에탄올,023150
SK이노베이션,096770
SNT다이내믹스,003570
STX,011810
SUN&L,002820
갤럭시아에스엠,011420
경농,002100
경동인베스트,012320
광전자,017900
국도화학,007690
국보,001140
극동유화,014530
노루페인트,090350
녹십자홀딩스,005250
대림통상,006570
대성산업,128820
동국홀딩스,001230
롯데지주,004990
메타랩스,090370
명문제약,017180
모나리자,012690
미래에셋증권,006800
미원화학,134380
보령,003850
부국증권,001270
비케이탑스,030790
삼부토건,001470
삼성공조,006660
삼성엔지니어링,028050
삼성제약,001360
삼성출판사,068290
삼양홀딩스,000070
삼익THK,004380
삼호개발,010960
선진,136490
시디즈,134790
신대양제지,016590
신도리코,029530
신세계건설,034300
신세계인터내셔날,031430
신풍,002870
아이에스동서,010780
아이에이치큐,003560
영풍제지,006740
영화금속,012280
오뚜기,007310
우진,105840
윌비스,008600
유나이티드,033270
인지컨트롤스,023800
인터지스,129260
일성건설,013360
일정실업,008500
일진다이아,081000
자화전자,033240
제일파마홀딩스,002620
조비,001550
종근당홀딩스,001630
케이씨티시,009070
코스맥스,192820
코오롱글로벌,003070
코웨이,021240
콤텍시스템,031820
키다리스튜디오,020120
태경산업,015890
태양금속공업,004100
토니모리,214420
티케이지휴켐스,069260
한국ANKOR유전,152550
한국주철관공업,000970
한미사이언스,008930
한솔로지스틱스,009180
한솔테크닉스,004710
한일철강,002220
한일홀딩스,003300
한화,000880
한화생명,088350
한화솔루션,009830
핸즈코퍼레이션,143210
현대건설,000720
현대비앤지스틸,004560
현대자동차,005380
현대차증권,001500
DH오토웨어,025440
ITX-AI,099520
KB오토시스,024120
KD,044180
KH바텍,060720
RFHIC,218410
TJ미디어,032540
감성코퍼레이션,036620
강스템바이오텍,217730
골프존,215000
광무,029480
광진실업,026910
글로본,019660
네오티스,085910
넥스턴바이오,089140
농우바이오,054050
뉴파워프라즈마,144960
다우데이타,032190
대봉엘에스,078140
대한과학,131220
대호특수강,021040
더코디,224060
덕산네오룩스,213420
동방선기,099410
동양파일,228340
드림시큐리티,203650
디에이피,066900
디와이디,219550
디지틀조선,033130
룽투코리아,060240
리드코프,012700
메디프론,065650
모비스,250060
미래나노텍,095500
바이넥스,053030
베뉴지,019010
베셀,177350
브이티,018290
비덴트,121800
삼기,122350
삼보판지,023600
삼영엠텍,054540
삼표시멘트,038500
셀루메드,049180
셀바스헬스케어,208370
소니드,060230
슈피겐코리아,192440
스카이문스테크놀로지,033790
스타플렉스,115570
스페코,013810
씨씨에스,066790
씨엔플러스,115530
씨유메디칼,115480
씨젠,096530
씨케이에이치,900120
씨티프라퍼티,052300
아시아경제,127710
아이센스,099190
아이에스이커머스,069920
아이윈,090150
아이컴포넌트,059100
아이티센,124500
알에프텍,061040
앤디포스,238090
에스앤에스텍,101490
에스에너지,095910
에스에프에이,056190
에스엠,041510
에스엠코어,007820
에쎈테크,043340
에이디테크놀로지,200710
에이텍,045660
에이티넘인베스트,021080
엑사이엔씨,054940
엑세스바이오,950130
엠게임,058630
엠투엔,033310
예스티,122640
오디텍,080520
오픈베이스,049480
옵티시스,109080
웨이브일렉트로,095270
웰크론,065950
윈하이텍,192390
유니온커뮤니티,203450
유니테스트,086390
유니테크노,241690
유성티엔에스,024800
유신,054930
이랜텍,054210
이스트소프트,047560
이엠넷,123570
이화전기,024810
인성정보,033230
인지소프트,100030
인텍플러스,064290
인포바인,115310
잉크테크,049550
자비스,254120
자연과환경,043910
자이글,234920
정상제이엘에스,040420
제우스,079370
제이씨케미칼,137950
제이씨현시스템,033320
제이엠티,094970
제주반도체,080220
조아제약,034940
주성엔지니어링,036930
지란지교시큐리티,208350
지엔씨에너지,119850
캐스텍코리아,071850
케스피온,079190
케이피엠테크,042040
케이피티유,054410
코다코,046070
코스나인,082660
코스온,069110
클리오,237880
탑엔지니어링,065130
텔콘RF제약,200230
토탈소프트,045340
트루윈,105550
특수건설,026150
티에스넥스젠,043220
티엔엔터테인먼트,131100
