Date,Open,High,Low,Close,Volume,Change,ma5,ma10,ma20,Kospi,S&P500,rsi,%K,%D,bb_upper,bb_sma,bb_lower,volume_ma5,momentum,high_low_diff
2005-08-16,4032,4039,3924,4012,0,-0.012065993597636049,4106.2,4181.9,4539.35,1116.930054,1219.339966,23.868312757201636,20.878048780487806,19.61149748723309,5668.775801947726,4539.35,3409.9241980522743,0.0,-159.0,115
2005-08-17,3911,4061,3820,3832,0,-0.04486540378863413,4049.2,4122.2,4409.0,1113.25,1220.23999,16.22441243366187,3.4482758620689653,15.978314078937236,5150.401801710077,4409.0,3667.598198289923,0.0,-285.0,241
2005-08-18,3822,3855,3706,3714,0,-0.030793319415448828,3959.6,4073.3,4320.95,1092.709961,1219.02002,16.850393700787407,0.9478672985781991,8.42473064704499,4936.977502803671,4320.95,3704.9224971963285,0.0,-448.0,149
2005-08-19,3617,3717,3424,3511,0,-0.05465805061927842,3826.0,3993.8,4256.6,1089.880005,1219.709961,15.6891495601173,7.837837837837839,4.077993666161667,4929.097434939347,4256.6,3584.1025650606534,0.0,-668.0,293
2005-08-22,3549,3645,3522,3594,0,0.023639988607234486,3732.6,3935.3,4203.1,1116.680054,1221.72998,17.739628040057227,16.28352490421456,8.356410013543533,4908.57032463979,4203.1,3497.6296753602114,0.0,-467.0,123
2005-08-23,3626,3641,3467,3518,0,-0.02114635503617135,3633.8,3870.0,4142.85,1115.839966,1217.589966,17.626154939587778,9.279368213228036,11.133576985093478,4866.944287259682,4142.85,3418.7557127403193,0.0,-494.0,174
2005-08-24,3489,3544,3425,3534,0,0.004548038658328535,3574.2,3811.7,4087.2,1094.209961,1209.589966,22.055137844611536,11.702127659574469,12.42167359233902,4819.187517868842,4087.2,3355.2124821311572,0.0,-298.0,119
2005-08-25,3474,3528,3454,3511,0,-0.006508205998868144,3533.6,3746.6,4026.6,1097.290039,1212.369995,14.413607878245301,9.456521739130434,10.146005870644313,4737.3290252750485,4026.6,3315.8709747249513,0.0,-203.0,74
2005-08-26,3462,3549,3421,3496,0,-0.004272287097693006,3530.6,3678.3,3973.6,1086.550049,1205.099976,16.019900497512438,8.125677139761647,9.761442179488851,4676.149762238271,3973.6,3271.0502377617286,0.0,-15.0,128
2005-08-29,3450,3466,3322,3364,0,-0.03775743707093826,3484.6,3608.6,3919.45,1063.160034,1212.280029,14.260407440212589,4.10958904109589,7.230595973329323,4635.189874829572,3919.45,3203.710125170428,0.0,-230.0,144
2005-08-30,3357,3397,3314,3384,0,0.005945303210463715,3457.8,3545.8,3863.85,1072.609985,1208.410034,16.529680365296798,7.751937984496124,6.66240138845122,4563.596803832416,3863.85,3164.103196167583,0.0,-134.0,83
2005-08-31,3308,3417,3308,3343,0,-0.012115839243498794,3419.6,3496.9,3809.55,1083.329956,1220.329956,12.46562786434464,3.850385038503851,5.237304021365288,4492.998985506213,3809.55,3126.1010144937873,0.0,-191.0,109
2005-09-01,3361,3490,3361,3493,0,0.04486987735566861,3416.0,3474.8,3774.05,1106.369995,1221.589966,21.977124183006538,20.37444933920705,10.658924120735675,4445.095209866078,3774.05,3103.004790133922,0.0,-18.0,129
2005-09-02,3482,3662,3465,3552,0,0.016890924706556065,3427.2,3478.9,3736.35,1115.829956,1218.02002,28.154506437768234,32.40371845949535,18.876184279068752,4364.9394903420025,3736.35,3107.7605096579973,0.0,56.0,197
2005-09-06,3566,3566,3497,3518,0,0.0011383039271486428,3484.0,3470.9,3670.45,1122.650024,1233.390015,28.52173913043478,27.88844621513944,26.88887133794728,4302.726778812803,3703.3,3103.873221187198,0.0,154.0,69
2005-09-07,3549,3740,3549,3648,0,0.03695281409891993,3545.0,3482.3,3647.0,1142.98999,1236.359985,41.63636363636363,62.15722120658135,40.816461960405384,4234.84687106886,3677.15,3119.4531289311394,0.0,264.0,191
2005-09-08,3660,3827,3643,3794,0,0.04002192982456143,3605.2,3510.6,3628.6,1145.26001,1231.670044,53.54609929078014,93.64161849710982,61.22909530627687,4182.605214697856,3661.0,3139.394785302143,0.0,451.0,184
2005-09-09,3841,3841,3670,3677,0,-0.03083816552451235,3630.2,3528.7,3603.5,1152.5,1241.47998,57.965451055662186,69.23076923076923,75.00986964482013,4102.375951076383,3636.75,3171.124048923617,0.0,184.0,171
2005-09-12,3674,3707,3577,3594,0,-0.022572749524068514,3646.2,3551.7,3580.15,1158.359985,1240.560059,50.0,53.65853658536586,72.17697477108163,3996.971166421445,3607.5,3218.028833578555,0.0,42.0,130
2005-09-13,3545,3630,3464,3585,0,-0.0025041736227044975,3659.6,3571.8,3558.8,1158.119995,1231.199951,53.43589743589743,51.969981238273924,58.28642901813634,3909.448433772535,3583.7,3257.951566227465,0.0,67.0,166
2005-09-14,3573,4113,3573,4120,0,0.14923291492329138,3754.0,3649.5,3573.2,1170.77002,1227.160034,69.61178045515395,100.8695652173913,68.83269434701036,3946.7607625287237,3589.1,3231.439237471276,0.0,472.0,540
2005-09-15,4253,4555,4026,4347,0,0.05509708737864072,3864.6,3734.9,3604.85,1169.589966,1227.72998,74.61719670200236,83.31996792301524,78.71983812622682,4098.210288419569,3614.85,3131.4897115804306,0.0,553.0,529
2005-09-16,4456,4456,4091,4162,0,-0.04255808603634692,3961.6,3795.9,3637.4,1174.130005,1237.910034,67.82655246252676,68.48436246992783,84.22463187011145,4178.064930890117,3637.25,3096.4350691098834,0.0,485.0,365
2005-09-20,4110,4133,3966,3991,0,-0.04108601633829889,4041.0,3843.6,3657.25,1190.930054,1221.339966,66.4394336654431,54.77145148356054,68.85859395883455,4220.754244845379,3661.25,3101.7457551546213,0.0,397.0,167
2005-09-21,3975,4151,3928,4103,0,0.028063142069656655,4144.6,3902.1,3686.5,1196.670044,1210.199951,67.983991995998,63.75300721732157,62.33627372360331,4278.6868775217,3686.7,3094.7131224782997,0.0,518.0,223
2005-09-22,4024,4114,3976,3998,0,-0.025591030952961225,4120.2,3937.1,3709.7,1199.969971,1214.619995,65.87493940862822,53.3500837520938,57.291514150991965,4312.724339427531,3710.7,3108.6756605724686,0.0,-122.0,138
2005-09-23,3942,4110,3881,3890,0,-0.02701350675337666,4028.8,3946.7,3728.65,1175.880005,1215.290039,59.82187036120732,39.04674610449129,52.04994569130222,4329.577453630691,3728.5,3127.4225463693087,0.0,-457.0,229
2005-09-26,3896,3948,3832,3903,0,0.003341902313624745,3977.0,3969.3,3749.0,1206.410034,1215.630005,58.88607594936709,40.23831347387718,44.211714443487416,4344.864574932808,3748.1,3151.335425067192,0.0,-259.0,116
2005-09-27,3922,4255,3887,4255,0,0.0901870356136305,4029.8,4035.4,3793.55,1209.630005,1215.660034,66.07064980375054,72.50229147571035,50.59578368469294,4411.172632179604,3786.05,3160.9273678203963,0.0,264.0,368
2005-09-28,4257,4281,4124,4221,0,-0.007990599294947165,4053.4,4099.0,3835.4,1228.569946,1216.890015,63.040509786071915,69.38588450962419,60.70882981973724,4449.685546494795,3828.9,3208.1144535052053,0.0,118.0,157
2005-09-29,4341,4394,4175,4179,0,-0.00995024875621886,4089.6,4104.9,3877.2,1231.219971,1227.680054,59.197324414715716,65.53620531622364,69.14146043385273,4471.0246954215545,3868.65,3266.275304578446,0.0,181.0,219
2005-09-30,4184,4423,4161,4429,0,0.059822924144532275,4197.4,4113.1,3924.0,1221.01001,1228.810059,66.89128481581312,88.45096241979834,74.45768408188206,4521.593545640344,3922.95,3324.306454359656,0.0,539.0,262
2005-10-04,4507,4518,4384,4488,0,0.013321291487920606,4314.4,4145.7,3970.8,1242.780029,1214.469971,70.29972752043597,93.85884509624198,82.61533761075465,4586.094386740057,3972.7,3359.305613259942,0.0,585.0,134
2005-10-05,4416,4701,4416,4588,0,0.022281639928698693,4381.0,4205.4,4024.5,1227.400024,1196.390015,71.87091146969036,89.98226950354609,90.76402567319548,4662.777451633034,4024.5,3386.2225483669663,0.0,333.0,285
2005-10-06,4758,4951,4584,4588,0,0.0,4454.4,4253.9,4078.0,1202.48999,1191.48999,63.310580204778155,67.5603217158177,83.80047877186858,4716.894769360176,4078.0,3439.1052306398246,0.0,367.0,367
2005-10-07,4597,4765,4597,4681,0,0.020270270270270174,4554.8,4322.2,4129.65,1201.01001,1195.900024,60.28325123152709,75.87131367292224,77.80463496409534,4788.874512510525,4129.65,3470.425487489474,0.0,502.0,168
2005-10-10,4717,4775,4525,4664,0,-0.0036317026276436737,4601.8,4399.6,4173.15,1227.180054,1187.329956,67.23901098901099,74.3521000893655,72.59457849270181,4853.59328430656,4173.15,3492.706715693439,0.0,235.0,250
2005-10-11,4589,4715,4523,4580,0,-0.018010291595197292,4620.2,4467.3,4218.3,1244.27002,1184.869995,71.51205259313367,66.84539767649687,72.35627047959487,4879.69504876157,4218.3,3556.9049512384295,0.0,92.0,192
2005-10-12,4575,4673,4340,4429,0,-0.03296943231441052,4588.4,4484.7,4260.05,1217.060059,1177.680054,61.57670454545455,53.35120643431635,64.84956806672623,4857.877461467116,4260.05,3662.2225385328848,0.0,-159.0,333
2005-10-13,4362,4563,4311,4573,0,0.032512982614585795,4585.4,4519.9,4309.45,1193.439941,1176.839966,69.86869384934346,66.21983914209115,62.13881441763479,4830.799857278408,4309.45,3788.100142721592,0.0,-15.0,252
2005-10-14,4661,4720,4494,4689,0,0.025366280341132752,4587.0,4570.9,4337.9,1190.170044,1186.569946,77.45704467353951,76.58623771224308,65.38576109621685,4877.5013733352325,4337.9,3798.2986266647667,0.0,8.0,226
2005-10-17,4803,4927,4719,4765,0,0.016208146726380823,4607.2,4604.5,4358.8,1176.359985,1190.099976,78.39262187088275,82.5187969924812,75.10829128227181,4931.264882857691,4358.8,3786.335117142309,0.0,101.0,208
